seller sku code	mrp	Discount
DKUC-HOD-215N--7-8 Years-7-8Y	1899	100
DKUC-HOD-215N--8-9 Years-8-9Y	1899	100
DKUC-HOD-215N--9-10 Years-9-10Y	1899	100
DKUC-LOW-601--11-12 Years	2700	100
DKUC-LOW-601--13-14 Years	2700	100
DKUC-LOW-601--3-4 Years	1800	100
DKUC-LOW-601--4-5 Years	2100	100
DKUC-LOW-601--5-6 Years	2100	100
DKUC-LOW-601--6-7 Years	2400	100
DKUC-LOW-601--7-8 Years	2400	100
DKUC-LOW-601--8-9 Years	2400	100
DKUC-LOW-601--9-10 Years	2700	100
DKUC-LOW-605--11-12 Years	2499	100
DKUC-LOW-605--13-14 Years	2499	100
DKUC-LOW-605--3-4 Years	2199	100
DKUC-LOW-605--4-5 Years	2199	100
DKUC-LOW-605--5-6 Years	2199	100
DKUC-LOW-605--6-7 Years	2199	100
DKUC-LOW-605--7-8 Years	2199	100
DKUC-LOW-605--8-9 Years	2499	100
DKUC-LOW-605--9-10 Years	2499	100
DKUC-LOW-606--11-12 Years	2199	100
DKUC-LOW-606--13-14 Years	2199	100
DKUC-LOW-606--3-4 Years	1899	100
DKUC-LOW-606--4-5 Years	1899	100
DKUC-LOW-606--5-6 Years	1899	100
DKUC-LOW-606--6-7 Years	1899	100
DKUC-LOW-606--7-8 Years	1899	100
DKUC-LOW-606--8-9 Years	2199	100
DKUC-LOW-606--9-10 Years	2199	100
DKUC-LOW-607--11-12 Years	2199	100
DKUC-LOW-607--13-14 Years	2199	100
DKUC-LOW-607--3-4 Years	1899	100
DKUC-LOW-607--4-5 Years	1899	100
DKUC-LOW-607--5-6 Years	1899	100
DKUC-LOW-607--6-7 Years	1899	100
DKUC-LOW-607--7-8 Years	1899	100
DKUC-LOW-607--8-9 Years	2199	100
DKUC-LOW-607--9-10 Years	2199	100
DKUC-LOW-608--11-12 Years	2100	100
DKUC-LOW-608--13-14 Years	2100	100
DKUC-LOW-608--3-4 Years	1900	100
DKUC-LOW-608--4-5 Years	1900	100
DKUC-LOW-608--5-6 Years	1900	100
DKUC-LOW-608--6-7 Years	1900	100
DKUC-LOW-608--7-8 Years	2100	100
DKUC-LOW-608--8-9 Years	2100	100
DKUC-LOW-608--9-10 Years	2100	100
DKUC-LOW-609--11-12 Years	2100	100
DKUC-LOW-609--13-14 Years	2100	100
DKUC-LOW-609--3-4 Years	1900	100
DKUC-LOW-609--4-5 Years	1900	100
DKUC-LOW-609--5-6 Years	1900	100
DKUC-LOW-609--6-7 Years	1900	100
DKUC-LOW-609--7-8 Years	2100	100
DKUC-LOW-609--8-9 Years	2100	100
DKUC-LOW-609--9-10 Years	2100	100
DKUC-LOW-612--11-12 Years	2100	100
DKUC-LOW-612--13-14 Years	2100	100
DKUC-LOW-612--3-4 Years	1900	100
DKUC-LOW-612--4-5 Years	1900	100
DKUC-LOW-612--5-6 Years	1900	100
